date,total_confirmed
2021-06-22,29409.0
2021-06-23,28773.0
2021-06-24,28157.0
2021-06-25,27317.0
2021-06-26,25330.0
2021-06-27,24381.0
2021-06-28,27837.0
2021-06-29,26471.0
2021-06-30,26528.0
2021-07-01,26387.0
2021-07-02,26079.0
2021-07-03,24272.0
2021-07-04,23618.0
2021-07-05,26817.0
2021-07-06,26162.0
2021-07-07,26915.0
2021-07-08,27307.0
2021-07-09,27352.0
2021-07-10,26781.0
2021-07-11,27023.0
2021-07-12,30860.0
2021-07-13,31063.0
2021-07-14,32175.0
2021-07-15,33731.0
2021-07-16,35280.0
2021-07-17,35639.0
2021-07-18,36385.0
2021-07-19,40547.0
2021-07-20,41765.0
2021-07-21,43847.0
2021-07-22,47537.0
2021-07-23,49785.0
2021-07-24,48427.0
2021-07-25,49937.0
2021-07-26,55079.0
2021-07-27,59453.0
2021-07-28,64245.0
2021-07-29,70623.0
2021-07-30,78715.0
2021-07-31,84928.0
2021-08-01,90419.0
2021-08-02,97686.0
2021-08-03,105750.0
2021-08-04,113076.0
2021-08-05,121823.0
2021-08-06,129949.0
2021-08-07,134907.0
2021-08-08,140361.0
2021-08-09,146718.0
2021-08-10,148719.0
2021-08-11,151432.0
2021-08-12,158916.0
2021-08-13,166903.0
2021-08-14,172858.0
2021-08-15,174247.0
2021-08-16,178529.0
2021-08-17,184445.0
2021-08-18,191398.0
2021-08-19,202895.0
2021-08-20,214768.0
2021-08-21,223153.0
2021-08-22,229980.0
2021-08-23,230388.0
2021-08-24,234993.0
2021-08-25,239697.0
2021-08-26,246795.0
2021-08-27,250503.0
2021-08-28,250229.0
2021-08-29,248833.0
2021-08-30,235574.0
2021-08-31,229584.0
2021-09-01,226230.0
2021-09-02,224569.0
2021-09-03,219008.0
2021-09-04,209164.0
2021-09-05,200997.0
2021-09-06,195817.0
2021-09-07,183426.0
2021-09-08,177728.0
2021-09-09,169496.0
2021-09-10,159512.0
2021-09-11,150285.0
2021-09-12,139094.0
2021-09-13,129120.0
2021-09-14,121601.0
2021-09-15,113782.0
2021-09-16,107090.0
2021-09-17,99711.0
2021-09-18,91623.0
2021-09-19,83525.0
2021-09-20,79791.0
2021-09-21,73767.0
2021-09-22,66571.0
2021-09-23,61913.0
2021-09-24,56607.0
2021-09-25,51694.0
2021-09-26,47768.0
2021-09-27,46455.0
2021-09-28,44379.0
2021-09-29,40997.0
2021-09-30,37693.0
2021-10-01,35650.0
2021-10-02,31755.0
2021-10-03,28663.0
2021-10-04,28754.0
2021-10-05,27514.0
2021-10-06,25830.0
2021-10-07,24090.0
2021-10-08,22936.0
2021-10-09,20925.0
2021-10-10,19469.0
2021-10-11,19313.0
2021-10-12,19317.0
2021-10-13,19273.0
2021-10-14,18629.0
2021-10-15,17558.0
2021-10-16,15900.0
2021-10-17,14786.0
2021-10-18,15992.0
2021-10-19,15529.0
2021-10-20,14799.0
2021-10-21,14488.0
2021-10-22,13660.0
2021-10-23,12637.0
2021-10-24,11524.0
2021-10-25,12576.0
2021-10-26,12580.0
2021-10-27,12628.0
2021-10-28,12121.0
2021-10-29,11859.0
2021-10-30,10993.0
2021-10-31,10175.0
2021-11-01,10345.0
2021-11-02,11436.0
2021-11-03,11714.0
2021-11-04,11144.0
2021-11-05,10708.0
2021-11-06,9982.0
2021-11-07,9506.0
2021-11-08,10827.0
2021-11-09,11425.0
2021-11-10,11276.0
2021-11-11,10920.0
2021-11-12,10900.0
2021-11-13,10363.0
2021-11-14,9529.0
2021-11-15,10527.0
2021-11-16,12107.0
2021-11-17,11733.0
2021-11-18,11758.0
2021-11-19,11293.0
2021-11-20,10352.0
2021-11-21,9614.0
2021-11-22,11413.0
2021-11-23,12505.0
2021-11-24,12256.0
2021-11-25,11835.0
2021-11-26,10691.0
2021-11-27,10997.0
2021-11-28,9974.0
2021-11-29,11868.0
2021-11-30,13220.0
2021-12-01,12921.0
2021-12-02,12587.0
2021-12-03,12993.0
2021-12-04,12122.0
2021-12-05,10911.0
2021-12-06,12722.0
2021-12-07,14526.0
2021-12-08,13811.0
2021-12-09,14180.0
2021-12-10,14003.0
2021-12-11,12687.0
2021-12-12,11531.0
2021-12-13,12577.0
2021-12-14,14464.0
2021-12-15,14012.0
2021-12-16,13805.0
2021-12-17,14070.0
2021-12-18,12780.0
2021-12-19,11958.0
2021-12-20,13771.0
2021-12-21,15661.0
2021-12-22,15943.0
2021-12-23,16344.0
2021-12-24,16058.0
2021-12-25,15190.0
2021-12-26,15793.0
2021-12-27,19363.0
2021-12-28,23642.0
2021-12-29,25242.0
2021-12-30,26009.0
2021-12-31,26168.0
2022-01-01,24604.0
2022-01-02,24807.0
2022-01-03,29067.0
2022-01-04,33663.0
2022-01-05,36579.0
2022-01-06,40011.0
2022-01-07,45263.0
2022-01-08,50262.0
2022-01-09,54901.0
2022-01-10,63665.0
2022-01-11,73159.0
2022-01-12,83295.0
2022-01-13,96735.0
2022-01-14,114110.0
2022-01-15,129515.0
2022-01-16,142172.0
2022-01-17,161910.0
2022-01-18,3787467.0
2022-01-19,215504.0
2022-01-20,178545.0
2022-01-21,283242.0
2022-01-22,317583.0
2022-01-23,345613.0
2022-01-24,370886.0
2022-01-25,406431.0
2022-01-26,445237.0
2022-01-27,487609.0
2022-01-28,529730.0
2022-01-29,562848.0
2022-01-30,599759.0
2022-01-31,617197.0
2022-02-01,646091.0
2022-02-02,685075.0
2022-02-03,734680.0
2022-02-04,759811.0
2022-02-05,796327.0
2022-02-06,814716.0
2022-02-07,819679.0
2022-02-08,847626.0
2022-02-09,854663.0
2022-02-10,878441.0
2022-02-11,888572.0
2022-02-12,882452.0
2022-02-13,866430.0
2022-02-14,850912.0
2022-02-15,846883.0
2022-02-16,851768.0
2022-02-17,852837.0
2022-02-18,850681.0
2022-02-19,839644.0
2022-02-20,836186.0
2022-02-21,813722.0
2022-02-22,793624.0
2022-02-23,794361.0
2022-02-24,772593.0
2022-02-25,748554.0
2022-02-26,737280.0
2022-02-27,723428.0
2022-02-28,711611.0
2022-03-01,691418.0
2022-03-02,684989.0
2022-03-03,674253.0
2022-03-04,663992.0
2022-03-05,650634.0
2022-03-06,645402.0
2022-03-07,619530.0
2022-03-08,601634.0
2022-03-09,599233.0
2022-03-10,601332.0
2022-03-11,587124.0
2022-03-12,577454.0
2022-03-13,568200.0
2022-03-14,549758.0
2022-03-15,537859.0
2022-03-16,530789.0
2022-03-17,529037.0
2022-03-18,523142.0
2022-03-19,510595.0
2022-03-20,498263.0
2022-03-21,478611.0
2022-03-22,453167.0
2022-03-23,428510.0
2022-03-24,422404.0
2022-03-25,421185.0
2022-03-26,415070.0
2022-03-27,415538.0
2022-03-28,408947.0
2022-03-29,408247.0
2022-03-30,415354.0
2022-03-31,427165.0
2022-04-01,443975.0
2022-04-02,447921.0
2022-04-03,453820.0
2022-04-04,445596.0
2020-01-14,10.0
2020-01-23,11.0
2020-02-16,15.0
2020-02-21,39.0
2020-02-22,30.0
2020-02-23,29.0
2020-01-24,19.0
2020-01-25,0.0
2020-02-08,5.0
